PDF Name,Page Number,UEN Number,Notes Page Content
ABR HOLDINGS LIMITED 2022 (197803023H).pdf,74,197803023H,"principal activities of the Company are the manufacture of ice cream, the operation of Swensen s ice cream parlours cum restaurants, operation of other specialty restaurants and investment holding. "
ABUNDANCE INTERNATIONAL LIMITED 2022 (197501572K).pdf,56,197501572K,principal activities of the Company are those of print and paper management related activities and investment holding. 
ABUNDANTE LIMITED 2023 (197902587H).pdf,48,197902587H,"principal activities of the Company are those of an investment holding company, supply of ready- mixed concrete and the manufacture and sale of ready-mixed concrete. "
ACCRELIST LTD. 2023 (201413466E).pdf,55,201413466E,principal activities of the Company is investment holding. 
ACESIAN PARTNERS LIMITED 2022 (199505699D).pdf,54,199505699D,"principal activities of the Group consist of design, manufacture and supply of critical airflow and related products and investment holding. "
ACMA LTD. 2022 (196500233E).pdf,48,196500233E,principal activity of the Company is that of investment holding. 
ADVANCED SYSTEMS AUTOMATION LIMITED 2022 (198600740M).pdf,52,198600740M,principal activity of the Company is investment holding. There have been no significant changes in the nature of the activity during the financial year. 
ALLIANCE HEALTHCARE GROUP LIMITED 2023 (200608233K).pdf,82,200608233K,principal activities of the company is that of investment holding and health related services. The company is listed on the Singapore Exchange Securities Trading Limited ( SGX-ST ). 
ANNAIK LIMITED 2022 (197702066M).pdf,71,197702066M,principal activity of the Company is that of investment holding. 
AP OIL INTERNATIONAL LIMITED 2022 (197502257M).pdf,61,197502257M,The  The Company is an investment holding company. 
BEST WORLD INTERNATIONAL LIMITED 2022 (199006030Z).pdf,57,199006030Z,"principal activities of the Company are those of investment holding and the distribution of nutritional international network of independent active distributors across Taiwan, Singapore, Malaysia, and supplement products, personal care products and healthcare equipment. "
BRC ASIA LIMITED 2022 (193800054G).pdf,57,193800054G,"principal activities of the Company are the prefabrication of steel reinforcement for use in concrete, trading of steel reinforcing bars, and manufacturing and sale of wire mesh fences. "
CASA HOLDINGS LIMITED 2022 (199406212Z).pdf,42,199406212Z,principal activity of the Company is that of an investment holding company. 
CH OFFSHORE LTD. 2022 (197600666D).pdf,82,197600666D,principal activities of the Company are that of investment holding and the owning and chartering of vessels. 
CHEMICAL INDUSTRIES (FAR EAST) LIMITED. 2023 (196200046K).pdf,42,196200046K,principal activities of the company are investment holding and the manufacture and sale of chemicals. 
CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD 2022 (199303293Z).pdf,141,199303293Z,"principal activities of the Group are those relating to trading and supply of jet fuel and trading of other petroleum products, and investment holding. The immediate and ultimate holding Company during the financial year was China National Aviation Fuel Group Limited ( CNAF ), a Company incorporated in the People s Republic of China ( PRC ). "
